"Category Name","Category Status","Feature Name","Feature Status",Notes,"Feature ID",Importance,"Times per Year","Cost per time","Hours per time","Feature EOI","Stakeholder Group1"
"Website Content Management",Incomplete,"Content approval workflow is supported",No,,130,"Nice to have",,,,,Test
"Website Content Management",Incomplete,"Generated site content is search engine friendly",No,,131,"Nice to have",,,,,Test
"Resource Library",Incomplete,"Resources within the resource library can be publicly available or restricted to members",No,,132,"Nice to have",,,,,Test
"Resource Library",Incomplete,"Metadata to be assigned to resources can be configured",No,,133,"Nice to have",,,,,Test
"Resource Library",Incomplete,"Resources can be assigned to any number of categories or subcategories",No,,134,"Nice to have",,,,,Test
"Resource Library",Incomplete,"The resource library can be browsed by category or search/filtered by metadata",No,,135,"Nice to have",,,,,Test
"Online Store",Incomplete,"Any number of categories/subcategories of products can be defined",No,,43,"Nice to have",,,,,Test
"Online Store",Incomplete,"Details presented about each product can be configured",No,,44,"Nice to have",,,,,Test
"Online Store",Incomplete,"Different groups of users (e.g. members) can receive different store pricing to other groups (e.g.non-members)",No,,45,"Nice to have",,,,,Test
"Online Store",Incomplete,"Discount codes and gift vouchers are supported",No,,136,"Nice to have",,,,,Test
"Online Store",Incomplete,"Different shipping methods and pricing can be configured",No,,137,"Nice to have",,,,,Test
"Online Store",Incomplete,"Automated communications through order processing workflow are supported -e.g. order received, order shipped etc",No,,138,"Nice to have",,,,,Test
"Online Store",Incomplete,"Differing tax requirements for international orders (e.g. no GST) needs to be accommodated",No,,139,"Nice to have",,,,,Test
"Online Store",Incomplete,"Multi-currency pricing needs to be accommodated",No,,140,"Nice to have",,,,,Test
"Online Store",Incomplete,"Upsell/cross-sell mechanisms need to be available",No,,141,"Nice to have",,,,,Test
